SerialNumber;DeviceName;DeviceType;PersonLastName;PersonFirstName;MailAddress;From;To
123456;"Samsung 10""";Tablet;Huber;Max;max.huber@gmail.at;08.10.2024;12.11.2024
123456;"Samsung 10""";Tablet;Meier;Franz;f.meier@gmx.net;01.12.2024;31.12.2024
123456;"Samsung 10""";Tablet;Müller;Hugo;x.x@x.x;01.02.2025;12.03.2025
123456;"Samsung 10""";Tablet;Lang;Susi;s.lang@a.a;14.03.2025;18.03.2025
987654;IPhone 6;SmartPhone;Lang;Susi;s.lang@a.a;01.12.2024;28.03.2025
987654;IPhone 6;SmartPhone;Müller;Hugo;x.x@x.x;01.04.2025;03.04.2025
AS12345;Asus 176NV;Notebook;Huber;Max;max.huber@gmail.at;01.07.2024;05.07.2024
AS12345;Asus 176NV;Notebook;Meier;Franz;f.meier@gmx.net;01.08.2024;22.11.2024
AS12345;Asus 176NV;Notebook;Huber;Max;max.huber@gmail.at;03.12.2024;22.01.2025
76543;IPad;Tablet;Huber;Max;max.huber@gmail.at;01.07.2024;05.07.2024
